SAMPLE,DATE,SITE,SAMP_TYPE,REP,TRT_NUM,DEPTH,TRT,NO3,NH4,SWC
588,1987-12-01,G,T,5,5,B,I,22.64,0.67,3.74
589,1987-12-01,G,T,5,9,A,N+I,26.55,1.59,3.19
590,1987-12-01,G,T,5,9,B,N+I,45.43,2.32,3.77
591,1987-12-01,G,C,1,2,A,C,3.55,0.94,4.04
592,1987-12-01,G,C,1,2,B,C,12.69,1.13,6.79
593,1987-12-01,G,C,1,5,A,I,1.93,0.52,5
594,1987-12-01,G,C,1,5,B,I,1.12,1.65,6.5
595,1987-12-01,G,C,1,9,A,N+I,1.83,0.73,4.27
596,1987-12-01,G,C,1,9,B,N+I,1.01,0.8,6.45
597,1987-12-01,G,C,2,2,A,C,1.69,2.1,2.6
598,1987-12-01,G,C,2,2,B,C,5.04,2.21,4.97
599,1987-12-01,G,C,2,7,A,I,2.6,1.51,4.02
600,1987-12-01,G,C,2,7,B,I,5.57,0.58,5.91
601,1987-12-01,G,C,2,8,A,N+I,1.88,1.77,4.04
602,1987-12-01,G,C,2,8,B,N+I,1,1.16,5.45
603,1987-12-01,G,C,3,5,A,C,1.08,2.37,3.32
604,1987-12-01,G,C,3,5,B,C,0.74,2.16,5.47
605,1987-12-01,G,C,3,6,A,I,2.97,0.56,2.61
606,1987-12-01,G,C,3,6,B,I,4.3,0.26,3.72
607,1987-12-01,G,C,3,9,A,N+I,2.15,1.48,2.68
608,1987-12-01,G,C,3,9,B,N+I,2.34,0.52,4.03
609,1987-12-01,G,C,4,2,A,C,19.54,0.31,4.42
610,1987-12-01,G,C,4,2,B,C,NA,0.27,7.04
611,1987-12-01,G,C,4,7,A,I,1.8,0.31,3.5
612,1987-12-01,G,C,4,7,B,I,NA,0.69,6.22
613,1987-12-01,G,C,4,8,A,N+I,6.37,0.72,3.88
614,1987-12-01,G,C,4,8,B,N+I,91.45,0.74,5.41
615,1987-12-01,G,C,5,2,A,C,1.13,0.51,3.43
616,1987-12-01,G,C,5,2,B,C,2.16,0.63,5.67
617,1987-12-01,G,C,5,5,A,I,1.78,0.56,2.56
618,1987-12-01,G,C,5,5,B,I,46.5,0.42,5.41
619,1987-12-01,G,C,5,9,A,N+I,17.75,0.2,2.12
620,1987-12-01,G,C,5,9,B,N+I,4.25,0.31,4.6
621,1987-12-01,P,T,1,4,A,I,3.17,0.92,14.06
622,1987-12-01,P,T,1,4,B,I,8.11,0.37,7.92
623,1987-12-01,P,T,1,5,A,C,3.29,0.32,9.32
624,1987-12-01,P,T,1,5,B,C,0,0.32,8.33
625,1987-12-01,P,T,1,9,A,N+I,6.85,0.75,15.39
626,1987-12-01,P,T,1,9,B,N+I,6.99,3.92,7.22
627,1987-12-01,P,T,2,1,A,C,6.76,0.6,10.53
628,1987-12-01,P,T,2,1,B,C,2.36,0.8,8.06
629,1987-12-01,P,T,2,4,A,I,11.79,5.17,18.19
630,1987-12-01,P,T,2,4,B,I,8.31,3.37,17.1
661,1987-12-01,P,T,2,8,A,N+I,8.41,0.68,12.45
632,1987-12-01,P,T,2,8,B,N+I,3.42,1.25,9.16
633,1987-12-01,P,T,3,3,A,I,1.84,0.95,7.7
634,1987-12-01,P,T,3,3,B,I,0.11,0.68,7.16
635,1987-12-01,P,T,3,5,A,C,0.58,0.74,6.69
636,1987-12-01,P,T,3,5,B,C,0.42,0.53,6.16
637,1987-12-01,P,T,3,8,A,N+I,6.38,6.11,12.12
638,1987-12-01,P,T,3,8,B,N+I,0.16,0.37,6.16
639,1987-12-01,P,T,4,5,A,C,3.12,0.43,7.83
640,1987-12-01,P,T,4,5,B,C,3.72,1.7,7.19
641,1987-12-01,P,T,4,6,A,I,6,1.1,10.62
642,1987-12-01,P,T,4,6,B,I,0.49,1.03,9.04
643,1987-12-01,P,T,4,9,A,N+I,2.31,1.71,10.77
644,1987-12-01,P,T,4,9,B,N+I,3.98,1.09,10.57
645,1987-12-01,P,T,5,4,A,C,5.8,2.26,13.99
646,1987-12-01,P,T,5,4,B,C,1.64,0.74,7.44
647,1987-12-01,P,T,5,6,A,I,5.76,2.83,12.94
648,1987-12-01,P,T,5,6,B,I,0.27,1.07,7.96
649,1987-12-01,P,T,5,9,A,N+I,9.05,0.69,7.61
650,1987-12-01,P,T,5,9,B,N+I,11.24,1.87,7.42
651,1987-12-01,P,C,1,4,A,I,5.01,0.74,13.4
652,1987-12-01,P,C,1,4,B,I,2.35,0.48,8.4
653,1987-12-01,P,C,1,5,A,C,2.99,0.62,12.29
654,1987-12-01,P,C,1,5,B,C,0.7,0.38,8.34
655,1987-12-01,P,C,1,9,A,N+I,9.06,0.61,10.95
656,1987-12-01,P,C,1,9,B,N+I,4.51,0.43,8.1
657,1987-12-01,P,C,2,1,A,C,7.52,1.11,11.4
658,1987-12-01,P,C,2,1,B,C,13.97,1.28,7.02
659,1987-12-01,P,C,2,4,A,I,63.91,0.58,14.09
660,1987-12-01,P,C,2,4,B,I,9.01,0.32,7.25
631,1987-12-01,P,C,2,8,A,N+I,41.66,0.84,12.25
662,1987-12-01,P,C,2,8,B,N+I,16.37,0.43,7.02
663,1987-12-01,P,C,3,3,A,I,20.4,8.25,10.64
664,1987-12-01,P,C,3,3,B,I,22.91,12.57,7.1
665,1987-12-01,P,C,3,5,A,C,9.9,1.26,9.09
666,1987-12-01,P,C,3,5,B,C,4.65,0.6,9.32
667,1987-12-01,P,C,3,8,A,N+I,12.93,0.65,9.74
668,1987-12-01,P,C,3,8,B,N+I,6.71,0.37,6.99
669,1987-12-01,P,C,4,5,A,C,9.06,0.72,11.82
670,1987-12-01,P,C,4,5,B,C,4.73,1.86,7.47
671,1987-12-01,P,C,4,6,A,I,7.94,0.47,16.34
672,1987-12-01,P,C,4,6,B,I,1.93,0.38,8.06
673,1987-12-01,P,C,4,9,A,N+I,6.61,0.65,16.92
674,1987-12-01,P,C,4,9,B,N+I,2.19,0.48,8.22
675,1987-12-01,P,C,5,4,A,C,12.78,0.5,11.75
676,1987-12-01,P,C,5,4,B,C,2.84,0.27,7.41
677,1987-12-01,P,C,5,6,A,I,4.52,0.56,11.03
678,1987-12-01,P,C,5,6,B,I,2.31,0.38,7.94
679,1987-12-01,P,C,5,9,A,N+I,10.48,0.45,13.13
680,1987-12-01,P,C,5,9,B,N+I,4.43,0.27,7.69
